Generation 0: 24.4668:       3000Generation 0: 0.584412
Generation 1: 24.4668:       2997Generation 1: 0.584412
Generation 2: 24.4668:       2994Generation 2: 0.584412
Generation 3: 24.4668:       2991Generation 3: 0.584412
Generation 4: 24.4668:       2988Generation 4: 0.584412
Generation 5: 24.4668:       2985Generation 5: 0.584412
Generation 6: 24.4668:       2982Generation 6: 0.584412
Generation 7: 24.4668:       2979Generation 7: 0.584412
Generation 8: 24.4668:       2976Generation 8: 0.584412
Generation 9: 24.4668:       2973Generation 9: 0.584412
Generation 10: 24.4668:       2970Generation 10: 0.584412
Generation 11: 24.4668:       2967Generation 11: 0.584412
Generation 12: 24.4668:       2964Generation 12: 0.584412
Generation 13: 24.4668:       2961Generation 13: 0.584412
Generation 14: 24.4668:       2958Generation 14: 0.584412
Generation 15: 24.4668:       2955Generation 15: 0.584412
Generation 16: 24.4668:       2952Generation 16: 0.584412
Generation 17: 24.4668:       2949Generation 17: 0.584412
Generation 18: 24.4668:       2946Generation 18: 0.584412
Generation 19: 24.4668:       2943Generation 19: 0.584412
Generation 20: 24.4668:       2940Generation 20: 0.584412
Generation 21: 24.4668:       2937Generation 21: 0.584412
Generation 22: 24.4668:       2934Generation 22: 0.584412
Generation 23: 24.4668:       2931Generation 23: 0.584412
Generation 24: 24.4668:       2928Generation 24: 0.584412
Generation 25: 24.4668:       2925Generation 25: 0.584412
Generation 26: 24.4668:       2922Generation 26: 0.584412
Generation 27: 24.4668:       2919Generation 27: 0.584412
Generation 28: 24.4668:       2916Generation 28: 0.584412
Generation 29: 24.4668:       2913Generation 29: 0.584412
Generation 30: 24.4668:       2910Generation 30: 0.584412
Generation 31: 24.4668:       2907Generation 31: 0.584412
Generation 32: 24.4668:       2904Generation 32: 0.584412
Generation 33: 24.4668:       2901Generation 33: 0.584412
Generation 34: 24.4668:       2898Generation 34: 0.584412
Generation 35: 24.4668:       2895Generation 35: 0.584412
Generation 36: 24.4668:       2892Generation 36: 0.584412
Generation 37: 24.4668:       2889Generation 37: 0.584412
Generation 38: 24.4668:       2886Generation 38: 0.584412
Generation 39: 24.4668:       2883Generation 39: 0.584412
Generation 40: 24.4668:       2880Generation 40: 0.584412
Generation 41: 23.3193:       2877Generation 41: 0.584412
Generation 42: 23.3193:       2874Generation 42: 0.584412
Generation 43: 23.3193:       2871Generation 43: 0.584412
Generation 44: 23.3193:       2868Generation 44: 0.584412
Generation 45: 23.3193:       2865Generation 45: 0.584412
Generation 46: 23.3193:       2862Generation 46: 0.584412
Generation 47: 23.3193:       2859Generation 47: 0.584412
Generation 48: 23.3193:       2856Generation 48: 0.584412
Generation 49: 23.3193:       2853Generation 49: 0.584412
Generation 50: 23.3193:       2850Generation 50: 0.584412
